cell_id,x_km,y_km,prior_probability,detection_probability
C01,-20,20,0.01,0.8
C02,-10,20,0.06,0.8
C03,0,20,0.12,0.8
C04,10,20,0.03,0.4
C05,20,20,0.01,0.4
C06,-20,10,0.02,0.8
C07,-10,10,0.03,0.8
C08,0,10,0.12,0.8
C09,10,10,0.06,0.4
C10,20,10,0.02,0.4
C11,-20,0,0.02,0.8
C12,-10,0,0.04,0.8
C13,0,0,0.10,0.8
C14,10,0,0.08,0.4
C15,20,0,0.04,0.4
C16,-20,-10,0.01,0.8
C17,-10,-10,0.03,0.8
C18,0,-10,0.02,0.8
C19,10,-10,0.06,0.4
C20,20,-10,0.03,0.4
C21,-20,-20,0.01,0.8
C22,-10,-20,0.02,0.8
C23,0,-20,0.03,0.8
C24,10,-20,0.02,0.4
C25,20,-20,0.01,0.4
