customer_id,region,segment
1,Norte,Corporativo
2,Norte,Pyme
3,Norte,Hogar
4,Norte,Corporativo
5,Norte,Pyme
6,Norte,Hogar
7,Norte,Corporativo
8,Norte,Pyme
9,Norte,Hogar
10,Norte,Corporativo
11,Norte,Pyme
12,Norte,Hogar
13,Norte,Corporativo
14,Norte,Pyme
15,Norte,Hogar
16,Norte,Corporativo
17,Norte,Pyme
18,Norte,Hogar
19,Norte,Corporativo
20,Norte,Pyme
21,Centro,Hogar
22,Centro,Corporativo
23,Centro,Pyme
24,Centro,Hogar
25,Centro,Corporativo
26,Centro,Pyme
27,Centro,Hogar
28,Centro,Corporativo
29,Centro,Pyme
30,Centro,Hogar
31,Centro,Corporativo
32,Centro,Pyme
33,Centro,Hogar
34,Centro,Corporativo
35,Centro,Pyme
36,Centro,Hogar
37,Centro,Corporativo
38,Centro,Pyme
39,Centro,Hogar
40,Centro,Corporativo
41,Sur,Pyme
42,Sur,Hogar
43,Sur,Corporativo
44,Sur,Pyme
45,Sur,Hogar
46,Sur,Corporativo
47,Sur,Pyme
48,Sur,Hogar
49,Sur,Corporativo
50,Sur,Pyme
51,Sur,Hogar
52,Sur,Corporativo
53,Sur,Pyme
54,Sur,Hogar
55,Sur,Corporativo
56,Sur,Pyme
57,Sur,Hogar
58,Sur,Corporativo
59,Sur,Pyme
60,Sur,Hogar
