customer_id,true_p0,true_p1,true_uplift
C0001,0.6886026036094784,0.6916394542040345,0.003036850594556051
C0002,0.2366150503343069,0.2843133974549267,0.047698347120619766
C0003,0.6240910119682154,0.7312012439656486,0.10711023199743319
C0004,0.3701559018897994,0.625567207905583,0.25541130601578355
C0005,0.017232059863774636,0.018815563227472493,0.0015835033636978565
C0006,0.7869464920190147,0.9745898516741867,0.18764335965517198
C0007,0.8866788923984579,0.99752207647634,0.11084318407788207
C0008,0.7559672933674112,0.76625790538169,0.010290612014278833
C0009,0.06770708942541369,0.07319575215430853,0.005488662728894839
C0010,0.41844396568459813,0.5227989222438887,0.10435495655929056
C0011,0.6625439145612311,0.7859300602881688,0.12338614572693773
C0012,0.4431864110184804,0.6406739640436409,0.19748755302516047
C0013,0.14619018275129336,0.19360551752442884,0.047415334773135476
C0014,0.14359385720784426,0.14376509899224174,0.00017124178439748006
C0015,0.4235177610533238,0.5921617518703521,0.16864399081702836
C0016,0.4796588981223814,0.7059122980658555,0.22625339994347415
C0017,0.3522619637415302,0.3532935385684004,0.0010315748268702185
C0018,0.14416989105476447,0.3840189256658505,0.23984903461108603
C0019,0.03467714261859536,0.03468899342812872,1.1850809533364703e-05
C0020,0.44113134653017805,0.452001960594081,0.01087061406390294
C0021,0.6646774058672205,0.6655577575335169,0.0008803516662964084
C0022,0.6378126437151562,0.9332354867136494,0.2954228429984932
C0023,0.8647625844672339,0.8746523430976291,0.009889758630395207
C0024,0.5837635061752969,0.6139695956757769,0.030206089500479982
C0025,0.5808488728808132,0.585129315318301,0.004280442437487819
C0026,0.234442146736282,0.576787816237653,0.34234566950137096
C0027,0.3250901732098568,0.35346436280225974,0.028374189592402954
C0028,0.08346445997245312,0.11868958388178061,0.035225123909327485
C0029,0.36127086602545827,0.40736436495376394,0.046093498928305665
C0030,0.6440530094581717,0.6542917936630379,0.010238784204866236
C0031,0.5143058655132958,0.8623559519052935,0.34805008639199764
C0032,0.6061899828567434,0.6212009390467773,0.015010956190033897
C0033,0.15747001332171232,0.1742798445064746,0.016809831184762286
C0034,0.3454780473762972,0.410270006746356,0.06479195937005877
C0035,0.4122782818972453,0.41602105700445996,0.0037427751072146576
C0036,0.32497153894716263,0.6554673454736745,0.33049580652651184
C0037,0.2371129979527173,0.3894874838253086,0.1523744858725913
C0038,0.025664155770844126,0.025675753078034276,1.1597307190150397e-05
C0039,0.5743818740291117,0.5744812350537019,9.936102459018326e-05
C0040,0.619002087885796,0.636014591933117,0.01701250404732102
C0041,0.7373538088400581,0.8328635338075377,0.09550972496747967
C0042,0.7597478804652367,0.8487384733837844,0.08899059291854772
C0043,0.8075678404474078,0.820926815259601,0.01335897481219317
C0044,0.595270996405317,0.5982547226562053,0.0029837262508882745
C0045,0.6395085732393757,0.8723935934275566,0.2328850201881809
