customer_id,tenure_months,recent_transactions,recent_spend,digital_engagement,months_since_last_purchase,annual_fee,customer_value,retention_offer,retained_next_period
C0001,47,7,74.87,0.92,4.93,0,99.9,1,1
C0002,27,3,46.05,0.7603,2.26,0,76.84,0,0
C0003,52,5,214.51,0.6476,5.48,0,211.61,0,1
C0004,42,4,89.45,0.3267,1.36,95,159.06,1,1
C0005,7,7,9.61,0.027,7.0,0,47.69,0,0
C0006,59,6,218.53,0.2767,2.1,95,262.32,0,1
C0007,46,8,186.72,0.6858,1.41,95,236.88,0,1
C0008,47,4,140.73,0.8631,1.28,50,177.58,0,0
C0009,9,7,76.84,0.0023,3.16,50,126.47,1,0
C0010,28,6,140.92,0.208,0.06,0,152.74,0,0
C0011,23,8,247.25,0.6731,3.17,0,237.8,1,1
C0012,56,3,20.82,0.2836,0.22,0,56.66,0,0
C0013,39,5,24.88,0.1417,3.78,0,59.9,0,0
C0014,50,7,99.78,0.0819,9.21,50,144.82,1,0
C0015,27,4,147.87,0.6379,1.13,0,158.3,1,1
C0016,14,9,110.3,0.5949,2.0,95,175.74,1,1
C0017,34,5,201.43,0.8586,7.52,95,248.64,0,1
C0018,5,3,237.11,0.3148,0.49,0,229.69,0,0
C0019,50,2,172.3,0.1367,11.51,0,177.84,1,0
C0020,38,5,194.83,0.7992,6.31,0,195.86,1,1
C0021,46,1,171.77,0.9882,1.13,0,177.42,0,0
C0022,22,11,150.76,0.3604,2.26,50,185.61,0,1
C0023,58,7,46.52,0.8653,2.11,50,102.22,1,1
C0024,54,6,67.76,0.7625,5.59,50,119.21,0,0
C0025,47,3,41.93,0.9116,1.67,0,73.54,1,1
C0026,12,7,138.12,0.4244,2.83,95,198.0,1,1
C0027,29,5,168.58,0.1013,0.41,50,199.86,0,0
C0028,4,9,34.06,0.1184,3.53,95,114.75,0,0
C0029,10,5,155.81,0.7632,0.96,95,212.15,1,0
C0030,41,5,79.98,0.8633,2.0,50,128.98,1,1
C0031,45,6,64.46,0.457,2.41,0,91.57,1,1
C0032,58,5,99.97,0.0596,0.09,95,167.48,1,1
C0033,20,6,60.36,0.0667,0.87,0,88.29,0,0
C0034,23,8,198.53,0.5986,6.59,0,198.82,0,1
C0035,29,2,136.56,0.9186,1.52,0,149.25,1,0
C0036,12,7,215.22,0.3996,2.45,0,212.18,0,0
C0037,9,4,114.52,0.6506,0.25,0,131.62,1,0
C0038,29,4,117.55,0.542,12.76,0,134.04,0,0
C0039,14,11,299.87,0.8898,8.77,95,327.4,0,1
C0040,41,6,20.16,0.8324,2.06,50,81.13,0,1
C0041,27,9,252.76,0.1993,0.09,95,289.71,1,0
C0042,50,6,282.36,0.6775,5.3,95,313.39,1,0
C0043,42,5,211.27,0.8475,1.49,0,209.02,1,1
C0044,19,6,123.56,0.9302,0.88,50,163.85,0,0
C0045,50,2,264.15,0.5899,2.13,50,276.32,1,1
C0046,48,9,124.26,0.1759,8.87,0,139.41,1,1
C0047,24,5,93.54,0.5582,1.23,95,162.33,0,0
C0048,18,5,118.94,0.6658,0.63,95,182.65,1,0
C0049,41,2,104.38,0.2725,6.17,0,123.5,1,0
C0050,9,6,74.27,0.973,2.04,95,146.92,0,0
C0051,13,7,238.8,0.2293,1.35,0,231.04,0,1
