order_id,line_id,order_date,customer_id,product_id,quantity,discount_pct
1,1,2024-01-04,51,12,5,0.05
1,2,2024-01-04,51,1,4,0.1
1,3,2024-01-04,51,3,2,0.0
2,1,2024-01-07,35,7,5,0.05
3,1,2024-01-10,16,6,5,0.1
3,2,2024-01-10,16,9,1,0.0
4,1,2024-01-13,49,9,3,0.1
5,1,2024-01-16,49,8,4,0.05
5,2,2024-01-16,49,8,4,0.05
6,1,2024-01-19,25,11,1,0.05
6,2,2024-01-19,25,12,2,0.0
6,3,2024-01-19,25,11,3,0.0
7,1,2024-01-22,9,8,1,0.0
7,2,2024-01-22,9,5,1,0.0
8,1,2024-01-25,9,7,5,0.05
8,2,2024-01-25,9,6,2,0.05
9,1,2024-01-28,15,2,5,0.1
9,2,2024-01-28,15,2,3,0.1
9,3,2024-01-28,15,12,1,0.0
10,1,2024-01-31,43,10,2,0.0
11,1,2024-02-03,30,12,4,0.0
12,1,2024-02-06,19,9,1,0.0
12,2,2024-02-06,19,10,2,0.05
12,3,2024-02-06,19,4,2,0.1
13,1,2024-02-09,53,11,4,0.0
14,1,2024-02-12,35,10,4,0.05
14,2,2024-02-12,35,4,3,0.1
15,1,2024-02-15,13,5,1,0.0
15,2,2024-02-15,13,4,2,0.1
16,1,2024-02-18,1,1,2,0.0
17,1,2024-02-21,21,6,1,0.0
17,2,2024-02-21,21,3,1,0.1
18,1,2024-02-24,5,6,1,0.0
19,1,2024-02-27,47,9,5,0.1
19,2,2024-02-27,47,12,5,0.0
20,1,2024-03-01,30,2,5,0.0
20,2,2024-03-01,30,9,1,0.0
21,1,2024-03-04,58,7,1,0.0
21,2,2024-03-04,58,2,5,0.05
22,1,2024-03-07,8,6,1,0.0
22,2,2024-03-07,8,7,4,0.1
22,3,2024-03-07,8,1,2,0.0
23,1,2024-03-10,5,2,3,0.0
23,2,2024-03-10,5,7,1,0.0
24,1,2024-03-13,10,5,4,0.05
24,2,2024-03-13,10,4,1,0.05
25,1,2024-03-16,46,2,2,0.0
25,2,2024-03-16,46,10,1,0.05
26,1,2024-03-19,10,7,4,0.0
26,2,2024-03-19,10,6,3,0.0
26,3,2024-03-19,10,4,2,0.0
27,1,2024-03-22,32,5,3,0.1
27,2,2024-03-22,32,6,3,0.1
28,1,2024-03-25,46,4,3,0.0
28,2,2024-03-25,46,3,4,0.0
28,3,2024-03-25,46,12,4,0.1
29,1,2024-03-28,40,7,2,0.05
29,2,2024-03-28,40,9,4,0.0
30,1,2024-03-31,11,10,1,0.0
30,2,2024-03-31,11,10,3,0.0
31,1,2024-04-03,35,5,2,0.0
31,2,2024-04-03,35,6,3,0.0
32,1,2024-04-06,40,2,2,0.0
32,2,2024-04-06,40,9,3,0.0
33,1,2024-04-09,24,2,1,0.1
33,2,2024-04-09,24,7,3,0.1
33,3,2024-04-09,24,2,5,0.05
34,1,2024-04-12,13,11,2,0.05
34,2,2024-04-12,13,5,1,0.05
35,1,2024-04-15,31,5,5,0.0
36,1,2024-04-18,39,10,4,0.0
36,2,2024-04-18,39,8,1,0.0
37,1,2024-04-21,57,3,2,0.05
37,2,2024-04-21,57,10,3,0.0
37,3,2024-04-21,57,8,4,0.1
38,1,2024-04-24,6,3,1,0.0
38,2,2024-04-24,6,3,1,0.05
39,1,2024-04-27,44,10,1,0.1
39,2,2024-04-27,44,4,3,0.1
40,1,2024-04-30,36,1,2,0.0
41,1,2024-05-03,44,8,1,0.05
41,2,2024-05-03,44,4,2,0.0
42,1,2024-05-06,8,10,5,0.0
42,2,2024-05-06,8,2,1,0.1
43,1,2024-05-09,51,5,4,0.0
43,2,2024-05-09,51,4,1,0.05
44,1,2024-05-12,18,8,4,0.0
44,2,2024-05-12,18,12,3,0.1
45,1,2024-05-15,7,7,4,0.0
45,2,2024-05-15,7,6,3,0.0
45,3,2024-05-15,7,8,3,0.0
46,1,2024-05-18,57,5,2,0.1
47,1,2024-05-21,23,3,5,0.0
47,2,2024-05-21,23,3,3,0.1
